Testing overfitting the model on all the datasets
Class ratio [('ana valeije0', 10, 0.3333333333333333), ('kawasaki0', 10, 0.3333333333333333), ('tama eguchi0', 10, 0.3333333333333333)]
Train labels :(24,80.0%)
Test  labels :(6,20.0%)
Model: 1_lstm_no_dropout_500_3_labels 
		embed EmbedID ['W'] 
				 W => (108, 500)
		lstm1 
			lateral Linear ['W'] 
						 W => (2000, 500)
			upward Linear ['W', 'b'] 
						 W => (2000, 500)
						 b => (2000,)
		w Linear ['W', 'b'] 
				 W => (3, 500)
				 b => (3,)
Optimizer: ('MomentumSGD', {'momentum': 0.9, 'lr': 0.01}) 
Evaluation
epoch	training loss	test loss	test accuracy
265	8.769830067952474e-05	0.019670963287353516	1.0
266	8.734067281087239e-05	0.019761284192403156	1.0
267	8.700291315714519e-05	0.019731958707173664	1.0
268	8.64863395690918e-05	0.019673268000284832	1.0
269	8.618831634521484e-05	0.019655227661132812	1.0
270	8.579095204671224e-05	0.019732157389322918	1.0
271	8.543332417805989e-05	0.019710461298624676	1.0
272	8.505582809448242e-05	0.019711971282958984	1.0
273	8.47776730855306e-05	0.019765615463256836	1.0
274	8.434057235717773e-05	0.019754648208618164	1.0
275	8.400281270345052e-05	0.019705971082051594	1.0
276	8.368492126464844e-05	0.019725561141967773	1.0
277	8.324782053629558e-05	0.01971896489461263	1.0
278	8.292992909749349e-05	0.019716660181681316	1.0
279	8.253256479899089e-05	0.019748330116271973	1.0
280	8.217493693033855e-05	0.01974034309387207	1.0
281	8.185704549153645e-05	0.019709269205729168	1.0
282	8.15590222676595e-05	0.019704778989156086	1.0
283	8.114178975423177e-05	0.019711097081502277	1.0
284	8.086363474527995e-05	0.01969742774963379	1.0
285	8.0565611521403e-05	0.019674817721048992	1.0
286	8.022785186767578e-05	0.019712964693705242	1.0
287	7.994969685872395e-05	0.019705851872762043	1.0
288	7.959206899007161e-05	0.01976303259531657	1.0
289	7.933378219604492e-05	0.019749999046325684	1.0
290	7.89960225423177e-05	0.01974197228749593	1.0
291	7.857879002888997e-05	0.019734740257263184	1.0
292	7.828076680501302e-05	0.01975969473520915	1.0
293	7.80026117960612e-05	0.019690950711568195	1.0
294	7.770458857218425e-05	0.019705851872762043	1.0
295	7.736682891845703e-05	0.01975862185160319	1.0
296	7.71482785542806e-05	0.01970374584197998	1.0
297	7.679065068562825e-05	0.019773085912068684	1.0
298	7.651249567667644e-05	0.019793073336283367	1.0
299	7.613499959309895e-05	0.01978333791097005	1.0
300	7.587671279907227e-05	0.01975838343302409	1.0
301	7.557868957519531e-05	0.019738157590230305	1.0
302	7.528066635131836e-05	0.019750038782755535	1.0
303	7.502237955729167e-05	0.01971908410390218	1.0
304	7.480382919311523e-05	0.01980300744374593	1.0
305	7.448593775431316e-05	0.019739349683125813	1.0
306	7.406870524088542e-05	0.01973251501719157	1.0
307	7.388989130655925e-05	0.019774476687113445	1.0
308	7.35918680826823e-05	0.019782543182373047	1.0
309	7.331371307373047e-05	0.019773364067077637	1.0
310	7.301568984985352e-05	0.01980094114939372	1.0
311	7.275740305582683e-05	0.01978151003519694	1.0
312	7.2479248046875e-05	0.01976497968037923	1.0
313	7.220109303792317e-05	0.01976009209950765	1.0
314	7.2022279103597e-05	0.019787271817525227	1.0
315	7.172425587972005e-05	0.01982279618581136	1.0
316	7.14262326558431e-05	0.019780715306599934	1.0
317	7.12275505065918e-05	0.019816239674886067	1.0
318	7.100900014241536e-05	0.019792636235555012	1.0
319	7.069110870361328e-05	0.019823392232259113	1.0
320	7.041295369466145e-05	0.019828001658121746	1.0
321	7.015466690063477e-05	0.019829829533894856	1.0
322	6.989638010660808e-05	0.019811511039733887	1.0
323	6.967782974243164e-05	0.01984095573425293	1.0
324	6.939967473347981e-05	0.01986197630564372	1.0
325	6.914138793945312e-05	0.019846518834431965	1.0
326	6.88632329305013e-05	0.019885778427124023	1.0
327	6.862481435139974e-05	0.019853671391805012	1.0
328	6.836652755737305e-05	0.019845962524414062	1.0
329	6.80685043334961e-05	0.019817034403483074	1.0
330	6.784995396931966e-05	0.019822080930074055	1.0
331	6.763140360514323e-05	0.01984993616739909	1.0
332	6.739298502604167e-05	0.01983499526977539	1.0
333	6.719430287679036e-05	0.019875764846801758	1.0
334	6.69558842976888e-05	0.01983956495920817	1.0
335	6.671746571858724e-05	0.019868771235148113	1.0
336	6.651878356933594e-05	0.01986706256866455	1.0
337	6.635983784993489e-05	0.019836147626241047	1.0
338	6.604194641113281e-05	0.01982744534810384	1.0
339	6.586313247680664e-05	0.01985033353169759	1.0
340	6.558497746785481e-05	0.01982128620147705	1.0
341	6.536642710367839e-05	0.01984592278798421	1.0
342	6.520748138427734e-05	0.019918958346048992	1.0
343	6.502866744995117e-05	0.019909381866455078	1.0
344	6.479024887084961e-05	0.01985458532969157	1.0
345	6.455183029174805e-05	0.019874016443888348	1.0
346	6.435314814249675e-05	0.019883116086324055	1.0
347	6.409486134847005e-05	0.0198744535446167	1.0
348	6.385644276936849e-05	0.019906481107076008	1.0
349	6.35981559753418e-05	0.019892215728759766	1.0
350	6.341934204101562e-05	0.019883592923482258	1.0
351	6.322065989176433e-05	0.019845128059387207	1.0
352	6.302197774251302e-05	0.019928733507792156	1.0
